fisionomia,last_fire1,fire_count1,Vegetacao,Vegetation,last_fire,fire_count,Lat,Long,Periodo,Area,Parcela,Termografo,Day,Month,Year,Date,Time,Fo,Fm,Fv,Fv_Fm,RC_ABS,Fv_Fo,1_Vj_Vj,PI,T_Max,T_Min,T_Mean,Diameter_cm,Height_cm,SPAD
7,300,50,Cerrado aberto,Savanna grassland,6 - 7 years,more 10 fire_count,"-7°20'17.95""S","-47° 3'18.37""W",Tarde,1,1,4540,5,11,21,05/11/21,13:08:12, 10679,23806,13127,0.551,0.302,1.229,0.341,0.127,41.5,34.1,37.25,35.0,62.0,30.85
7,300,50,Cerrado aberto,Savanna grassland,6 - 7 years,more 10 fire_count,"-7°20'17.95""S","-47° 3'18.37""W",Tarde,1,1,4540,5,11,21,05/11/21,13:08:36, 6352,20691,14339,0.693,0.921,2.257,0.664,1.381,41.5,34.1,37.3,35.0,62.0,30.9
7,300,50,Cerrado aberto,Savanna grassland,6 - 7 years,more 10 fire_count,"-7°20'17.95""S","-47° 3'18.37""W",Tarde,1,1,4540,5,11,21,05/11/21,13:08:52, 8250,23237,14987,0.645,0.651,1.817,0.423,0.500,41.5,34.1,37.3,35.0,62.0,30.9
7,300,50,Cerrado aberto,Savanna grassland,6 - 7 years,more 10 fire_count,"-7°20'17.95""S","-47° 3'18.37""W",Tarde,1,1,4540,5,11,21,05/11/21,13:09:11, 6922,24689,17767,0.720,1.236,2.567,0.681,2.160,41.5,34.1,37.3,35.0,62.0,30.9
7,300,50,Cerrado aberto,Savanna grassland,6 - 7 years,more 10 fire_count,"-7°20'17.95""S","-47° 3'18.37""W",Tarde,1,1,4540,5,11,21,05/11/21,13:09:28, 5234,20956,15722,0.750,1.121,3.004,0.523,1.763,41.5,34.1,37.3,35.0,62.0,30.9
7,300,50,Cerrado aberto,Savanna grassland,6 - 7 years,more 10 fire_count,"-7°20'17.95""S","-47° 3'18.37""W",Tarde,1,1,4540,5,11,21,05/11/21,13:09:40, 6004,23436,17432,0.744,1.243,2.903,0.697,2.515,41.5,34.1,37.3,35.0,62.0,30.9
7,300,50,Cerrado aberto,Savanna grassland,6 - 7 years,more 10 fire_count,"-7°20'17.95""S","-47° 3'18.37""W",Tarde,1,1,4540,5,11,21,05/11/21,13:09:57, 6704,20560,13856,0.674,1.005,2.067,0.674,1.400,41.5,34.1,37.3,35.0,62.0,30.9
7,300,50,Cerrado aberto,Savanna grassland,6 - 7 years,more 10 fire_count,"-7°20'17.95""S","-47° 3'18.37""W",Tarde,1,1,4540,5,11,21,05/11/21,13:10:20, 5574,18737,13163,0.703,0.920,2.361,0.633,1.374,41.5,34.1,37.3,35.0,62.0,30.9
7,300,50,Cerrado aberto,Savanna grassland,6 - 7 years,more 10 fire_count,"-7°20'17.95""S","-47° 3'18.37""W",Tarde,1,1,4540,5,11,21,05/11/21,13:10:31, 6173,20344,14171,0.697,0.876,2.296,0.685,1.376,41.5,34.1,37.3,35.0,62.0,30.9
7,300,50,Cerrado aberto,Savanna grassland,6 - 7 years,more 10 fire_count,"-7°20'17.95""S","-47° 3'18.37""W",Tarde,1,1,4540,5,11,21,05/11/21,13:10:48, 3283,10747,7464,0.695,1.354,2.274,0.713,2.195,41.5,34.1,37.3,35.0,62.0,30.9
7,400,40,Cerrado aberto,Savanna grassland,more 10 years,8 - 10 fire_count,"-7°20'19.34""S","-47° 3'17.97""W",Tarde,1,2,4541,5,11,21,05/11/21,13:14:02, 5927,22500,16573,0.737,1.355,2.796,0.648,2.454,38.6,33.7,35.6,43.5,53.5,26.9
7,400,40,Cerrado aberto,Savanna grassland,more 10 years,8 - 10 fire_count,"-7°20'19.34""S","-47° 3'17.97""W",Tarde,1,2,4541,5,11,21,05/11/21,13:14:12, 4538,16702,12164,0.728,1.125,2.680,0.637,1.920,38.6,33.7,35.6,43.5,53.5,26.9
7,400,40,Cerrado aberto,Savanna grassland,more 10 years,8 - 10 fire_count,"-7°20'19.34""S","-47° 3'17.97""W",Tarde,1,2,4541,5,11,21,05/11/21,13:14:28, 5684,24495,18811,0.768,1.309,3.309,0.640,2.775,38.6,33.7,35.6,43.5,53.5,26.9
7,400,40,Cerrado aberto,Savanna grassland,more 10 years,8 - 10 fire_count,"-7°20'19.34""S","-47° 3'17.97""W",Tarde,1,2,4541,5,11,21,05/11/21,13:14:39, 6038,24931,18893,0.758,1.537,3.129,0.687,3.303,38.6,33.7,35.6,43.5,53.5,26.9
7,400,40,Cerrado aberto,Savanna grassland,more 10 years,8 - 10 fire_count,"-7°20'19.34""S","-47° 3'17.97""W",Tarde,1,2,4541,5,11,21,05/11/21,13:14:49, 4811,16363,11552,0.706,0.928,2.401,0.686,1.527,38.6,33.7,35.6,43.5,53.5,26.9
7,400,40,Cerrado aberto,Savanna grassland,more 10 years,8 - 10 fire_count,"-7°20'19.34""S","-47° 3'17.97""W",Tarde,1,2,4541,5,11,21,05/11/21,13:15:01, 4223,16212,11989,0.740,1.095,2.839,0.607,1.887,38.6,33.7,35.6,43.5,53.5,26.9
7,400,40,Cerrado aberto,Savanna grassland,more 10 years,8 - 10 fire_count,"-7°20'19.34""S","-47° 3'17.97""W",Tarde,1,2,4541,5,11,21,05/11/21,13:15:11, 5541,22192,16651,0.750,1.277,3.005,0.686,2.631,38.6,33.7,35.6,43.5,53.5,26.9
7,400,40,Cerrado aberto,Savanna grassland,more 10 years,8 - 10 fire_count,"-7°20'19.34""S","-47° 3'17.97""W",Tarde,1,2,4541,5,11,21,05/11/21,13:15:22, 5822,21600,15778,0.730,1.257,2.710,0.680,2.314,38.6,33.7,35.6,43.5,53.5,26.9
7,400,40,Cerrado aberto,Savanna grassland,more 10 years,8 - 10 fire_count,"-7°20'19.34""S","-47° 3'17.97""W",Tarde,1,2,4541,5,11,21,05/11/21,13:15:34, 2367,8857,6490,0.733,1.345,2.742,0.639,2.356,38.6,33.7,35.6,43.5,53.5,26.9
6,400,10,Cerrado denso,Savanna shrub,more 10 years,0 - 1 fire_count,"-7°20'16.47""S","-47° 3'16.12""W",Tarde,1,3,4542,5,11,21,05/11/21,14:09:47, 4389,20418,16029,0.785,1.659,3.652,0.592,3.586,31.9,28.3,30.2,32.0,50.5,33.0
6,400,10,Cerrado denso,Savanna shrub,more 10 years,0 - 1 fire_count,"-7°20'16.47""S","-47° 3'16.12""W",Tarde,1,3,4542,5,11,21,05/11/21,14:10:09, 3490,13246,9756,0.737,0.828,2.795,0.449,1.039,31.9,28.3,30.2,32.0,50.5,33.0
